1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1936271.18013803,1682349.67815159,305889.519597814,1395340.64768924,1776606.32459296,1882338.60598252,1822372.5705113,404888.946698578,2549601.7250254,1721836.4465977,1713482.31891071,2563058.32436326,2835687.31151362,1766156.30817425,387921.776608205,0.0,1811242.7835233,2315264.60201356,1976392.4586382,2344353.00572793,2553249.54136126,2823978.31619935,2429884.46533532,2324960.29074882,1799097.97012563,2649830.18232664,1589744.56381742,2565263.55984184,1676859.47045531,2582133.14743448
3719075.30964967,1871108.5881802,1520707.87911388,3181474.07230865,3573082.14813025,3672315.85681707,60525.6491910984,1739528.05531675,1721730.80715844,3508967.26264051,3452210.20464379,1733718.65167232,4309967.28166578,3536791.36719084,1784720.80240064,1811242.7835233,0.0,4058038.18131704,1813524.75193265,4079916.03217009,1734508.32617523,1998472.24748203,1619801.16632398,4042493.36331162,55137.0606684029,1786427.494839,268513.504394872,1746727.98317855,275450.623756218,1744321.19247916
451615.993663499,2934032.63362987,2564728.48685303,940871.284265915,649519.094487152,530450.409005644,4080925.91183189,2318833.02133635,4101206.02248977,646336.627018226,606893.263450166,4110673.13225715,1142230.21947064,563494.17505321,2273365.34114368,2315264.60201356,4058038.18131704,0.0,3306633.10431835,49360.8784454036,4096700.58087717,4275147.14496871,4015257.99015738,139341.440302832,4034346.64756352,4191208.1915812,3806344.50646761,4104003.27106191,3866864.48514919,4128920.48517952
3154925.79135131,377964.377199282,1756814.66222475,2737821.93313308,3099312.84387309,3147906.8880507,1872424.4867024,1590639.96954775,799315.843105571,3000898.65506425,2800079.61412878,807787.80229175,3062826.01581937,2960246.03309045,1624142.18734625,1976392.4586382,1813524.75193265,3306633.10431835,0.0,3305728.21895875,793540.050614625,977196.337245029,727864.000646346,3229097.98396122,1759191.66055955,885811.391531919,1600169.71984149,799954.658790709,1542764.22287696,825407.187926261
496962.908929195,2934225.06266107,2590749.08282044,976442.608599219,694563.580116005,576238.953398459,4103450.92850185,2340404.01391267,4101454.11004976,687673.124388362,632443.068339041,4110788.51491036,1095960.13540465,600536.844399581,2295248.86578687,2344353.00572793,4079916.03217009,49360.8784454036,3305728.21895875,0.0,4096768.19915813,4272339.97425425,4016659.81213708,101752.888317593,4055642.82971262,4190873.09577332,3827113.63998682,4103929.04531968,3886367.42069893,4128947.0245403
3929768.94347258,1162668.00279183,2284201.9249272,3490500.46402703,3863197.58594598,3918460.14988989,1793640.56207462,2211715.98055167,14712.3455668437,3767323.24582233,3578787.44911169,14478.1875591364,3833995.65473658,3733726.19860318,2253004.53486686,2553249.54136126,1734508.32617523,4096700.58087717,793540.050614625,4096768.19915813,0.0,287610.617558796,130430.310459454,4021219.59045185,1681683.73381489,99422.7789781027,1620307.76390118,13154.2034501825,1519530.14066971,32357.7029860581
4132065.4476926,1355147.41436338,2560313.65956947,3710613.10026673,4075514.09881279,4125026.44134571,2056693.18076785,2473112.24904917,296342.347248624,3977526.16794693,3776807.03588767,282552.15471527,3939663.10266618,3937441.25181923,2513052.11981826,2823978.31619935,1998472.24748203,4275147.14496871,977196.337245029,4272339.97425425,287610.617558796,0.0,417972.355735744,4192876.77346542,1946735.72325059,213516.344593874,1897479.35056252,274480.105341558,1793843.88376054,266897.377188589
3837420.26450602,1084822.53138518,2158438.46129178,3390268.68654454,3766248.80247731,3824135.59892363,1679371.41177226,2093068.1062221,123038.472122698,3671452.11238498,3488829.21874449,136969.244023078,3786702.36214294,3640920.60567951,2134974.40087752,2429884.46533532,1619801.16632398,4015257.99015738,727864.000646346,4016659.81213708,130430.310459454,417972.355735744,0.0,3943019.81538464,1566417.93890133,220856.870935786,1497569.56298728,143527.485710869,1398759.62520621,154860.90161215
538970.730767242,2859289.59955598,2563643.40838859,978829.759560423,732362.679310919,618878.684576015,4067412.55722144,2303637.16552755,4026155.90405925,711176.237760631,612886.543598957,4035302.53688034,1007154.63654277,611650.817377285,2259212.9584501,2324960.29074882,4042493.36331162,139341.440302832,3229097.98396122,101752.888317593,4021219.59045185,4192876.77346542,3943019.81538464,0.0,4016992.51354486,4114741.19763984,3787462.53539807,4028181.33430999,3844064.23052157,4053332.39595036
3699574.64724154,1819899.72154881,1505590.43468953,3163006.52957256,3555615.68387538,3653783.74089683,115596.836519344,1715521.89028612,1668975.82187206,3490220.90160305,3429089.01655466,1681031.41693865,4273094.292333,3516187.77921802,1761163.73414098,1799097.97012563,55137.0606684029,4034346.64756352,1759191.66055955,4055642.82971262,1681683.73381489,1946735.72325059,1566417.93890133,4016992.51354486,0.0,1734446.87987986,232376.979291316,1693948.50455485,224203.68760568,1691792.76360615
4027112.19618925,1257450.6573764,2379193.87025896,3589262.53192489,3961437.22988275,4016211.83573994,1844869.9511508,2310063.72421385,100639.019833758,3865378.67928175,3675629.24696755,87711.9534877234,3915338.74933192,3831183.306527,2351505.77162452,2649830.18232664,1786427.494839,4191208.1915812,885811.391531919,4190873.09577332,99422.7789781027,213516.344593874,220856.870935786,4114741.19763984,1734446.87987986,0.0,1684004.57544918,89435.3877960268,1580346.00487831,68277.4465153002
3476299.50013603,1627212.07301997,1291407.81537864,2941325.28659429,3335178.37520711,3431808.13123594,312053.697695113,1488053.10213018,1608740.46987028,3268015.34247358,3201749.36484684,1621644.85838451,4041939.67777358,3291596.21075465,1534126.33681499,1589744.56381742,268513.504394872,3806344.50646761,1600169.71984149,3827113.63998682,1620307.76390118,1897479.35056252,1497569.56298728,3787462.53539807,232376.979291316,1684004.57544918,0.0,1633106.81094622,117973.422605136,1634527.19682545
3938246.89677885,1170005.91513166,2296523.44274242,3499851.54033445,3872176.65463083,3927152.2372122,1805823.66311583,2223178.76078458,25118.5136122571,3776188.71351917,3587022.99972586,16190.3712149594,3837740.99976836,3742261.25497202,2264394.20780941,2565263.55984184,1746727.98317855,4104003.27106191,799954.658790709,4103929.04531968,13154.2034501825,274480.105341558,143527.485710869,4028181.33430999,1693948.50455485,89435.3877960268,1633106.81094622,0.0,1532200.15310863,26167.6503941103
3545693.12062477,1595858.76047688,1375228.73463805,3013431.37177867,3408608.5278298,3503116.13730666,331904.502770089,1552783.21435376,1507613.32726375,3339119.92002657,3264131.40539332,1520301.64075122,4069379.28568082,3359040.79331152,1599633.36873711,1676859.47045531,275450.623756218,3866864.48514919,1542764.22287696,3886367.42069893,1519530.14066971,1793843.88376054,1398759.62520621,3844064.23052157,224203.68760568,1580346.00487831,117973.422605136,1532200.15310863,0.0,1532614.05617452
3962120.71227681,1194889.90445162,2312142.19314336,3522665.90237675,3895476.20322761,3950791.21683536,1803215.89802351,2241835.90236303,32532.3632202838,3799626.22891724,3611144.78095067,19470.7797279182,3863906.87441411,3766073.99385816,2283253.79947581,2582133.14743448,1744321.19247916,4128920.48517952,825407.187926261,4128947.0245403,32357.7029860581,266897.377188589,154860.90161215,4053332.39595036,1691792.76360615,68277.4465153002,1634527.19682545,26167.6503941103,1532614.05617452,0.0
